|                             |    Rows |   Columns |   Missing Values |   Duplicate Rows | Column Names                                                                                                                                                                                                                                                                                | Sample Rows                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|:----------------------------|--------:|----------:|-----------------:|-----------------:|:--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|:----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| m_teams                     |     380 |         4 |                0 |                0 | ['TeamID', 'TeamName', 'FirstD1Season', 'LastD1Season']                                                                                                                                                                                                                                     | [{'TeamID': 1101, 'TeamName': 'Abilene Chr', 'FirstD1Season': 2014, 'LastD1Season': 2025}, {'TeamID': 1102, 'TeamName': 'Air Force', 'FirstD1Season': 1985, 'LastD1Season': 2025}, {'TeamID': 1103, 'TeamName': 'Akron', 'FirstD1Season': 1985, 'LastD1Season': 2025}, {'TeamID': 1104, 'TeamName': 'Alabama', 'FirstD1Season': 1985, 'LastD1Season': 2025}, {'TeamID': 1105, 'TeamName': 'Alabama A&M', 'FirstD1Season': 2000, 'LastD1Season': 2025}]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| w_teams                     |     378 |         2 |                0 |                0 | ['TeamID', 'TeamName']                                                                                                                                                                                                                                                                      | [{'TeamID': 3101, 'TeamName': 'Abilene Chr'}, {'TeamID': 3102, 'TeamName': 'Air Force'}, {'TeamID': 3103, 'TeamName': 'Akron'}, {'TeamID': 3104, 'TeamName': 'Alabama'}, {'TeamID': 3105, 'TeamName': 'Alabama A&M'}]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| m_seasons                   |      41 |         6 |                0 |                0 | ['Season', 'DayZero', 'RegionW', 'RegionX', 'RegionY', 'RegionZ']                                                                                                                                                                                                                           | [{'Season': 1985, 'DayZero': '10/29/1984', 'RegionW': 'East', 'RegionX': 'West', 'RegionY': 'Midwest', 'RegionZ': 'Southeast'}, {'Season': 1986, 'DayZero': '10/28/1985', 'RegionW': 'East', 'RegionX': 'Midwest', 'RegionY': 'Southeast', 'RegionZ': 'West'}, {'Season': 1987, 'DayZero': '10/27/1986', 'RegionW': 'East', 'RegionX': 'Southeast', 'RegionY': 'Midwest', 'RegionZ': 'West'}, {'Season': 1988, 'DayZero': '11/02/1987', 'RegionW': 'East', 'RegionX': 'Midwest', 'RegionY': 'Southeast', 'RegionZ': 'West'}, {'Season': 1989, 'DayZero': '10/31/1988', 'RegionW': 'East', 'RegionX': 'West', 'RegionY': 'Midwest', 'RegionZ': 'Southeast'}]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| w_seasons                   |      28 |         6 |                0 |                0 | ['Season', 'DayZero', 'RegionW', 'RegionX', 'RegionY', 'RegionZ']                                                                                                                                                                                                                           | [{'Season': 1998, 'DayZero': '10/27/1997', 'RegionW': 'East', 'RegionX': 'Midwest', 'RegionY': 'Mideast', 'RegionZ': 'West'}, {'Season': 1999, 'DayZero': '10/26/1998', 'RegionW': 'East', 'RegionX': 'Mideast', 'RegionY': 'Midwest', 'RegionZ': 'West'}, {'Season': 2000, 'DayZero': '11/01/1999', 'RegionW': 'East', 'RegionX': 'Midwest', 'RegionY': 'Mideast', 'RegionZ': 'West'}, {'Season': 2001, 'DayZero': '10/30/2000', 'RegionW': 'East', 'RegionX': 'Midwest', 'RegionY': 'Mideast', 'RegionZ': 'West'}, {'Season': 2002, 'DayZero': '10/29/2001', 'RegionW': 'East', 'RegionX': 'West', 'RegionY': 'Mideast', 'RegionZ': 'Midwest'}]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| m_tourney_seeds             |    2558 |         3 |                0 |                0 | ['Season', 'Seed', 'TeamID']                                                                                                                                                                                                                                                                | [{'Season': 1985, 'Seed': 'W01', 'TeamID': 1207}, {'Season': 1985, 'Seed': 'W02', 'TeamID': 1210}, {'Season': 1985, 'Seed': 'W03', 'TeamID': 1228}, {'Season': 1985, 'Seed': 'W04', 'TeamID': 1260}, {'Season': 1985, 'Seed': 'W05', 'TeamID': 1374}]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| w_tourney_seeds             |    1676 |         3 |                0 |                0 | ['Season', 'Seed', 'TeamID']                                                                                                                                                                                                                                                                | [{'Season': 1998, 'Seed': 'W01', 'TeamID': 3330}, {'Season': 1998, 'Seed': 'W02', 'TeamID': 3163}, {'Season': 1998, 'Seed': 'W03', 'TeamID': 3112}, {'Season': 1998, 'Seed': 'W04', 'TeamID': 3301}, {'Season': 1998, 'Seed': 'W05', 'TeamID': 3272}]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| m_regular_season_compact    |  191796 |         8 |                0 |                0 | ['Season', 'DayNum', 'WTeamID', 'WScore', 'LTeamID', 'LScore', 'WLoc', 'NumOT']                                                                                                                                                                                                             | [{'Season': 1985, 'DayNum': 20, 'WTeamID': 1228, 'WScore': 81, 'LTeamID': 1328, 'LScore': 64, 'WLoc': 'N', 'NumOT': 0}, {'Season': 1985, 'DayNum': 25, 'WTeamID': 1106, 'WScore': 77, 'LTeamID': 1354, 'LScore': 70, 'WLoc': 'H', 'NumOT': 0}, {'Season': 1985, 'DayNum': 25, 'WTeamID': 1112, 'WScore': 63, 'LTeamID': 1223, 'LScore': 56, 'WLoc': 'H', 'NumOT': 0}, {'Season': 1985, 'DayNum': 25, 'WTeamID': 1165, 'WScore': 70, 'LTeamID': 1432, 'LScore': 54, 'WLoc': 'H', 'NumOT': 0}, {'Season': 1985, 'DayNum': 25, 'WTeamID': 1192, 'WScore': 86, 'LTeamID': 1447, 'LScore': 74, 'WLoc': 'H', 'NumOT': 0}]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| w_regular_season_compact    |  135948 |         8 |                0 |                0 | ['Season', 'DayNum', 'WTeamID', 'WScore', 'LTeamID', 'LScore', 'WLoc', 'NumOT']                                                                                                                                                                                                             | [{'Season': 1998, 'DayNum': 18, 'WTeamID': 3104, 'WScore': 91, 'LTeamID': 3202, 'LScore': 41, 'WLoc': 'H', 'NumOT': 0}, {'Season': 1998, 'DayNum': 18, 'WTeamID': 3163, 'WScore': 87, 'LTeamID': 3221, 'LScore': 76, 'WLoc': 'H', 'NumOT': 0}, {'Season': 1998, 'DayNum': 18, 'WTeamID': 3222, 'WScore': 66, 'LTeamID': 3261, 'LScore': 59, 'WLoc': 'H', 'NumOT': 0}, {'Season': 1998, 'DayNum': 18, 'WTeamID': 3307, 'WScore': 69, 'LTeamID': 3365, 'LScore': 62, 'WLoc': 'H', 'NumOT': 0}, {'Season': 1998, 'DayNum': 18, 'WTeamID': 3349, 'WScore': 115, 'LTeamID': 3411, 'LScore': 35, 'WLoc': 'H', 'NumOT': 0}]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| m_tourney_compact           |    2518 |         8 |                0 |                0 | ['Season', 'DayNum', 'WTeamID', 'WScore', 'LTeamID', 'LScore', 'WLoc', 'NumOT']                                                                                                                                                                                                             | [{'Season': 1985, 'DayNum': 136, 'WTeamID': 1116, 'WScore': 63, 'LTeamID': 1234, 'LScore': 54, 'WLoc': 'N', 'NumOT': 0}, {'Season': 1985, 'DayNum': 136, 'WTeamID': 1120, 'WScore': 59, 'LTeamID': 1345, 'LScore': 58, 'WLoc': 'N', 'NumOT': 0}, {'Season': 1985, 'DayNum': 136, 'WTeamID': 1207, 'WScore': 68, 'LTeamID': 1250, 'LScore': 43, 'WLoc': 'N', 'NumOT': 0}, {'Season': 1985, 'DayNum': 136, 'WTeamID': 1229, 'WScore': 58, 'LTeamID': 1425, 'LScore': 55, 'WLoc': 'N', 'NumOT': 0}, {'Season': 1985, 'DayNum': 136, 'WTeamID': 1242, 'WScore': 49, 'LTeamID': 1325, 'LScore': 38, 'WLoc': 'N', 'NumOT': 0}]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| w_tourney_compact           |    1650 |         8 |                0 |                0 | ['Season', 'DayNum', 'WTeamID', 'WScore', 'LTeamID', 'LScore', 'WLoc', 'NumOT']                                                                                                                                                                                                             | [{'Season': 1998, 'DayNum': 137, 'WTeamID': 3104, 'WScore': 94, 'LTeamID': 3422, 'LScore': 46, 'WLoc': 'H', 'NumOT': 0}, {'Season': 1998, 'DayNum': 137, 'WTeamID': 3112, 'WScore': 75, 'LTeamID': 3365, 'LScore': 63, 'WLoc': 'H', 'NumOT': 0}, {'Season': 1998, 'DayNum': 137, 'WTeamID': 3163, 'WScore': 93, 'LTeamID': 3193, 'LScore': 52, 'WLoc': 'H', 'NumOT': 0}, {'Season': 1998, 'DayNum': 137, 'WTeamID': 3198, 'WScore': 59, 'LTeamID': 3266, 'LScore': 45, 'WLoc': 'H', 'NumOT': 0}, {'Season': 1998, 'DayNum': 137, 'WTeamID': 3203, 'WScore': 74, 'LTeamID': 3208, 'LScore': 72, 'WLoc': 'A', 'NumOT': 0}]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
