Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,Team1,Team2,Outcome,Team1_avg_points,Team1_avg_points_allowed,Team1_fg_percent,Team1_three_p_percent,Team1_ft_percent,Team1_avg_rebounds,Team1_avg_assists,Team1_avg_turnovers,Team1_avg_steals,Team1_avg_blocks,Team1_avg_fouls,Team2_avg_points,Team2_avg_points_allowed,Team2_fg_percent,Team2_three_p_percent,Team2_ft_percent,Team2_avg_rebounds,Team2_avg_assists,Team2_avg_turnovers,Team2_avg_steals,Team2_avg_blocks,Team2_avg_fouls
1985,136,1116,63,1234,54,N,0,1116,1234,1,,,,,,,,,,,,,,,,,,,,,,
1985,136,1120,59,1345,58,N,0,1120,1345,1,,,,,,,,,,,,,,,,,,,,,,
1985,136,1207,68,1250,43,N,0,1207,1250,1,,,,,,,,,,,,,,,,,,,,,,
1985,136,1229,58,1425,55,N,0,1229,1425,1,,,,,,,,,,,,,,,,,,,,,,
1985,136,1242,49,1325,38,N,0,1242,1325,1,,,,,,,,,,,,,,,,,,,,,,
1985,136,1246,66,1449,58,N,0,1246,1449,1,,,,,,,,,,,,,,,,,,,,,,
1985,136,1256,78,1338,54,N,0,1256,1338,1,,,,,,,,,,,,,,,,,,,,,,
1985,136,1260,59,1233,58,N,0,1233,1260,0,,,,,,,,,,,,,,,,,,,,,,
1985,136,1314,76,1292,57,N,0,1292,1314,0,,,,,,,,,,,,,,,,,,,,,,
1985,136,1323,79,1333,70,N,0,1323,1333,1,,,,,,,,,,,,,,,,,,,,,,
1985,136,1326,75,1235,64,N,0,1235,1326,0,,,,,,,,,,,,,,,,,,,,,,
1985,136,1328,96,1299,83,N,0,1299,1328,0,,,,,,,,,,,,,,,,,,,,,,
1985,136,1374,85,1330,68,N,0,1330,1374,0,,,,,,,,,,,,,,,,,,,,,,
1985,136,1385,83,1380,59,N,0,1380,1385,0,,,,,,,,,,,,,,,,,,,,,,
1985,136,1396,60,1439,57,N,0,1396,1439,1,,,,,,,,,,,,,,,,,,,,,,
1985,136,1424,85,1361,80,N,0,1361,1424,0,,,,,,,,,,,,,,,,,,,,,,
1985,137,1104,50,1112,41,N,0,1104,1112,1,,,,,,,,,,,,,,,,,,,,,,
1985,137,1130,55,1403,53,N,0,1130,1403,1,,,,,,,,,,,,,,,,,,,,,,
1985,137,1181,75,1337,62,N,0,1181,1337,1,,,,,,,,,,,,,,,,,,,,,,
1985,137,1208,67,1455,59,N,0,1208,1455,1,,,,,,,,,,,,,,,,,,,,,,
1985,137,1210,65,1273,58,N,0,1210,1273,1,,,,,,,,,,,,,,,,,,,,,,
1985,137,1228,76,1318,57,N,0,1228,1318,1,,,,,,,,,,,,,,,,,,,,,,
1985,137,1268,69,1275,68,N,1,1268,1275,1,,,,,,,,,,,,,,,,,,,,,,
1985,137,1272,67,1335,55,N,0,1272,1335,1,,,,,,,,,,,,,,,,,,,,,,
1985,137,1276,59,1192,55,N,0,1192,1276,0,,,,,,,,,,,,,,,,,,,,,,
1985,137,1298,78,1261,55,N,0,1261,1298,0,,,,,,,,,,,,,,,,,,,,,,
1985,137,1301,65,1305,56,N,0,1301,1305,1,,,,,,,,,,,,,,,,,,,,,,
1985,137,1393,70,1177,65,N,0,1177,1393,0,,,,,,,,,,,,,,,,,,,,,,
1985,137,1412,70,1277,68,N,0,1277,1412,0,,,,,,,,,,,,,,,,,,,,,,
1985,137,1431,79,1409,75,N,0,1409,1431,0,,,,,,,,,,,,,,,,,,,,,,
1985,137,1433,81,1267,65,N,0,1267,1433,0,,,,,,,,,,,,,,,,,,,,,,
1985,137,1437,51,1173,49,N,0,1173,1437,0,,,,,,,,,,,,,,,,,,,,,,
1985,138,1120,66,1242,64,N,0,1120,1242,1,,,,,,,,,,,,,,,,,,,,,,
1985,138,1207,63,1396,46,N,0,1207,1396,1,,,,,,,,,,,,,,,,,,,,,,
1985,138,1246,64,1424,61,N,0,1246,1424,1,,,,,,,,,,,,,,,,,,,,,,
1985,138,1256,79,1326,67,N,0,1256,1326,1,,,,,,,,,,,,,,,,,,,,,,
1985,138,1260,70,1374,57,N,0,1260,1374,1,,,,,,,,,,,,,,,,,,,,,,
1985,138,1314,60,1323,58,N,0,1314,1323,1,,,,,,,,,,,,,,,,,,,,,,
1985,138,1328,75,1229,69,N,0,1229,1328,0,,,,,,,,,,,,,,,,,,,,,,
1985,138,1385,68,1116,65,N,0,1116,1385,0,,,,,,,,,,,,,,,,,,,,,,
1985,139,1104,63,1433,59,N,0,1104,1433,1,,,,,,,,,,,,,,,,,,,,,,
1985,139,1130,74,1181,73,N,0,1130,1181,1,,,,,,,,,,,,,,,,,,,,,,
1985,139,1210,70,1393,53,N,0,1210,1393,1,,,,,,,,,,,,,,,,,,,,,,
1985,139,1228,74,1208,58,N,0,1208,1228,0,,,,,,,,,,,,,,,,,,,,,,
1985,139,1268,64,1298,59,N,0,1268,1298,1,,,,,,,,,,,,,,,,,,,,,,
1985,139,1272,67,1412,66,N,1,1272,1412,1,,,,,,,,,,,,,,,,,,,,,,
1985,139,1301,86,1431,73,N,0,1301,1431,1,,,,,,,,,,,,,,,,,,,,,,
1985,139,1437,59,1276,55,N,0,1276,1437,0,,,,,,,,,,,,,,,,,,,,,,
1985,143,1207,65,1260,53,N,0,1207,1260,1,,,,,,,,,,,,,,,,,,,,,,
1985,143,1210,61,1228,53,N,0,1210,1228,1,,,,,,,,,,,,,,,,,,,,,,
1985,143,1272,59,1130,57,N,0,1130,1272,0,,,,,,,,,,,,,,,,,,,,,,
1985,143,1328,86,1256,84,N,1,1256,1328,0,,,,,,,,,,,,,,,,,,,,,,
1985,144,1301,61,1104,55,N,0,1104,1301,0,,,,,,,,,,,,,,,,,,,,,,
1985,144,1314,62,1120,56,N,0,1120,1314,0,,,,,,,,,,,,,,,,,,,,,,
1985,144,1385,86,1246,70,N,0,1246,1385,0,,,,,,,,,,,,,,,,,,,,,,
1985,144,1437,46,1268,43,N,0,1268,1437,0,,,,,,,,,,,,,,,,,,,,,,
1985,145,1207,60,1210,54,N,0,1207,1210,1,,,,,,,,,,,,,,,,,,,,,,
1985,145,1272,63,1328,61,N,0,1272,1328,1,,,,,,,,,,,,,,,,,,,,,,
1985,146,1385,69,1301,60,N,0,1301,1385,0,,,,,,,,,,,,,,,,,,,,,,
1985,146,1437,56,1314,44,N,0,1314,1437,0,,,,,,,,,,,,,,,,,,,,,,
1985,152,1207,77,1385,59,N,0,1207,1385,1,,,,,,,,,,,,,,,,,,,,,,
1985,152,1437,52,1272,45,N,0,1272,1437,0,,,,,,,,,,,,,,,,,,,,,,
1985,154,1437,66,1207,64,N,0,1207,1437,0,,,,,,,,,,,,,,,,,,,,,,
1986,136,1133,83,1431,65,N,0,1133,1431,1,,,,,,,,,,,,,,,,,,,,,,
1986,136,1177,72,1438,68,N,0,1177,1438,1,,,,,,,,,,,,,,,,,,,,,,
1986,136,1181,85,1290,78,N,0,1181,1290,1,,,,,,,,,,,,,,,,,,,,,,
1986,136,1207,70,1403,64,N,0,1207,1403,1,,,,,,,,,,,,,,,,,,,,,,
1986,136,1210,68,1265,53,N,0,1210,1265,1,,,,,,,,,,,,,,,,,,,,,,
1986,136,1242,71,1299,46,N,0,1242,1299,1,,,,,,,,,,,,,,,,,,,,,,
1986,136,1257,93,1180,73,N,0,1180,1257,0,,,,,,,,,,,,,,,,,,,,,,
1986,136,1261,94,1345,87,N,1,1261,1345,1,,,,,,,,,,,,,,,,,,,,,,
1986,136,1272,95,1123,63,N,0,1123,1272,0,,,,,,,,,,,,,,,,,,,,,,
1986,136,1277,72,1449,70,N,0,1277,1449,1,,,,,,,,,,,,,,,,,,,,,,
1986,136,1314,84,1428,72,N,0,1314,1428,1,,,,,,,,,,,,,,,,,,,,,,
1986,136,1328,80,1318,74,N,0,1318,1328,0,,,,,,,,,,,,,,,,,,,,,,
1986,136,1330,72,1452,64,N,0,1330,1452,1,,,,,,,,,,,,,,,,,,,,,,
1986,136,1396,61,1239,50,N,1,1239,1396,0,,,,,,,,,,,,,,,,,,,,,,
1986,136,1412,66,1281,64,N,0,1281,1412,0,,,,,,,,,,,,,,,,,,,,,,
1986,136,1437,71,1439,62,N,0,1437,1439,1,,,,,,,,,,,,,,,,,,,,,,
1986,137,1104,97,1462,80,N,0,1104,1462,1,,,,,,,,,,,,,,,,,,,,,,
1986,137,1114,90,1323,83,N,0,1114,1323,1,,,,,,,,,,,,,,,,,,,,,,
1986,137,1120,73,1112,63,N,0,1112,1120,0,,,,,,,,,,,,,,,,,,,,,,
1986,137,1156,83,1231,79,N,0,1156,1231,1,,,,,,,,,,,,,,,,,,,,,,
1986,137,1228,75,1193,51,N,0,1193,1228,0,,,,,,,,,,,,,,,,,,,,,,
1986,137,1235,81,1275,79,N,1,1235,1275,1,,,,,,,,,,,,,,,,,,,,,,
1986,137,1246,75,1172,55,N,0,1172,1246,0,,,,,,,,,,,,,,,,,,,,,,
1986,137,1268,69,1337,64,N,0,1268,1337,1,,,,,,,,,,,,,,,,,,,,,,
1986,137,1276,70,1103,64,N,0,1103,1276,0,,,,,,,,,,,,,,,,,,,,,,
1986,137,1298,87,1409,68,N,0,1298,1409,1,,,,,,,,,,,,,,,,,,,,,,
1986,137,1301,66,1234,64,N,0,1234,1301,0,,,,,,,,,,,,,,,,,,,,,,
1986,137,1385,83,1286,74,N,0,1286,1385,0,,,,,,,,,,,,,,,,,,,,,,
1986,137,1386,60,1350,59,N,0,1350,1386,0,,,,,,,,,,,,,,,,,,,,,,
1986,137,1393,101,1135,52,N,0,1135,1393,0,,,,,,,,,,,,,,,,,,,,,,
1986,137,1424,74,1419,51,N,0,1419,1424,0,,,,,,,,,,,,,,,,,,,,,,
1986,137,1443,67,1304,59,N,0,1304,1443,0,,,,,,,,,,,,,,,,,,,,,,
1986,138,1177,74,1328,69,N,0,1177,1328,1,,,,,,,,,,,,,,,,,,,,,,
1986,138,1181,89,1330,61,N,0,1181,1330,1,,,,,,,,,,,,,,,,,,,,,,
1986,138,1210,66,1437,61,N,0,1210,1437,1,,,,,,,,,,,,,,,,,,,,,,
1986,138,1242,65,1396,43,N,0,1242,1396,1,,,,,,,,,,,,,,,,,,,,,,
1986,138,1257,82,1133,68,N,0,1133,1257,0,,,,,,,,,,,,,,,,,,,,,,
1986,138,1261,83,1272,81,N,0,1261,1272,1,,,,,,,,,,,,,,,,,,,,,,
1986,138,1277,80,1207,68,N,0,1207,1277,0,,,,,,,,,,,,,,,,,,,,,,
1986,138,1314,77,1412,59,N,0,1314,1412,1,,,,,,,,,,,,,,,,,,,,,,
1986,139,1104,58,1228,56,N,0,1104,1228,1,,,,,,,,,,,,,,,,,,,,,,
1986,139,1120,81,1385,65,N,0,1120,1385,1,,,,,,,,,,,,,,,,,,,,,,
1986,139,1156,75,1386,69,N,0,1156,1386,1,,,,,,,,,,,,,,,,,,,,,,
1986,139,1235,72,1276,69,N,0,1235,1276,1,,,,,,,,,,,,,,,,,,,,,,
1986,139,1246,71,1443,64,N,0,1246,1443,1,,,,,,,,,,,,,,,,,,,,,,
1986,139,1298,97,1393,85,N,0,1298,1393,1,,,,,,,,,,,,,,,,,,,,,,
1986,139,1301,80,1114,66,N,1,1114,1301,0,,,,,,,,,,,,,,,,,,,,,,
1986,139,1424,70,1268,64,N,0,1268,1424,0,,,,,,,,,,,,,,,,,,,,,,
1986,143,1120,70,1424,63,N,0,1120,1424,1,,,,,,,,,,,,,,,,,,,,,,
1986,143,1246,68,1104,63,N,0,1104,1246,0,,,,,,,,,,,,,,,,,,,,,,
1986,143,1257,94,1314,79,N,0,1257,1314,1,,,,,,,,,,,,,,,,,,,,,,
1986,143,1261,70,1210,64,N,0,1210,1261,0,,,,,,,,,,,,,,,,,,,,,,
1986,144,1181,74,1177,67,N,0,1177,1181,0,,,,,,,,,,,,,,,,,,,,,,
1986,144,1242,96,1277,86,N,1,1242,1277,1,,,,,,,,,,,,,,,,,,,,,,
1986,144,1298,71,1156,70,N,0,1156,1298,0,,,,,,,,,,,,,,,,,,,,,,
1986,144,1301,70,1235,66,N,0,1235,1301,0,,,,,,,,,,,,,,,,,,,,,,
1986,145,1257,84,1120,76,N,0,1120,1257,0,,,,,,,,,,,,,,,,,,,,,,
1986,145,1261,59,1246,57,N,0,1246,1261,0,,,,,,,,,,,,,,,,,,,,,,
1986,146,1181,71,1298,50,N,0,1181,1298,1,,,,,,,,,,,,,,,,,,,,,,
1986,146,1242,75,1301,67,N,0,1242,1301,1,,,,,,,,,,,,,,,,,,,,,,
1986,152,1181,71,1242,67,N,0,1181,1242,1,,,,,,,,,,,,,,,,,,,,,,
1986,152,1257,88,1261,77,N,0,1257,1261,1,,,,,,,,,,,,,,,,,,,,,,
1986,154,1257,72,1181,69,N,0,1181,1257,0,,,,,,,,,,,,,,,,,,,,,,
1987,136,1104,88,1299,71,N,0,1104,1299,1,,,,,,,,,,,,,,,,,,,,,,
1987,136,1120,62,1360,61,N,0,1120,1360,1,,,,,,,,,,,,,,,,,,,,,,
1987,136,1122,68,1228,67,N,0,1122,1228,1,,,,,,,,,,,,,,,,,,,,,,
1987,136,1181,58,1401,51,N,0,1181,1401,1,,,,,,,,,,,,,,,,,,,,,,
1987,136,1231,92,1193,58,N,0,1193,1231,0,,,,,,,,,,,,,,,,,,,,,,
1987,136,1243,82,1208,79,N,1,1208,1243,0,,,,,,,,,,,,,,,,,,,,,,
1987,136,1276,97,1298,82,N,0,1276,1298,1,,,,,,,,,,,,,,,,,,,,,,
1987,136,1309,83,1140,79,N,0,1140,1309,0,,,,,,,,,,,,,,,,,,,,,,
1987,136,1314,113,1335,82,N,0,1314,1335,1,,,,,,,,,,,,,,,,,,,,,,
1987,136,1323,84,1292,71,N,0,1292,1323,0,,,,,,,,,,,,,,,,,,,,,,
1987,136,1344,90,1412,68,N,0,1344,1412,1,,,,,,,,,,,,,,,,,,,,,,
1987,136,1395,76,1267,60,N,0,1267,1395,0,,,,,,,,,,,,,,,,,,,,,,
1987,136,1417,92,1141,73,N,0,1141,1417,0,,,,,,,,,,,,,,,,,,,,,,
1987,136,1424,95,1226,70,N,0,1226,1424,0,,,,,,,,,,,,,,,,,,,,,,
1987,136,1461,64,1438,60,N,0,1438,1461,0,,,,,,,,,,,,,,,,,,,,,,
1987,136,1462,70,1281,69,N,0,1281,1462,0,,,,,,,,,,,,,,,,,,,,,,
1987,137,1177,76,1256,62,N,0,1177,1256,1,,,,,,,,,,,,,,,,,,,,,,
1987,137,1196,82,1301,70,N,0,1196,1301,1,,,,,,,,,,,,,,,,,,,,,,
1987,137,1207,75,1137,53,N,0,1137,1207,0,,,,,,,,,,,,,,,,,,,,,,
1987,137,1234,99,1365,76,N,0,1234,1365,1,,,,,,,,,,,,,,,,,,,,,,
1987,137,1242,66,1222,55,N,0,1222,1242,0,,,,,,,,,,,,,,,,,,,,,,
1987,137,1261,85,1210,79,N,0,1210,1261,0,,,,,,,,,,,,,,,,,,,,,,
1987,137,1283,65,1155,60,N,0,1155,1283,0,,,,,,,,,,,,,,,,,,,,,,
1987,137,1326,91,1246,77,N,0,1246,1326,0,,,,,,,,,,,,,,,,,,,,,,
1987,137,1328,74,1409,69,N,0,1328,1409,1,,,,,,,,,,,,,,,,,,,,,,
1987,137,1338,93,1265,68,N,0,1265,1338,0,,,,,,,,,,,,,,,,,,,,,,
1987,137,1345,104,1318,95,N,0,1318,1345,0,,,,,,,,,,,,,,,,,,,,,,
1987,137,1385,57,1455,55,N,0,1385,1455,1,,,,,,,,,,,,,,,,,,,,,,
1987,137,1393,79,1204,73,N,0,1204,1393,0,,,,,,,,,,,,,,,,,,,,,,
1987,137,1396,75,1380,56,N,0,1380,1396,0,,,,,,,,,,,,,,,,,,,,,,
1987,137,1431,98,1112,91,N,1,1112,1431,0,,,,,,,,,,,,,,,,,,,,,,
1987,137,1443,64,1452,62,N,0,1443,1452,1,,,,,,,,,,,,,,,,,,,,,,
1987,138,1104,101,1309,76,N,0,1104,1309,1,,,,,,,,,,,,,,,,,,,,,,
1987,138,1181,65,1462,60,N,0,1181,1462,1,,,,,,,,,,,,,,,,,,,,,,
