Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,Team1,Team2,Outcome,Team1_avg_points,Team1_avg_points_allowed,Team1_fg_percent,Team1_three_p_percent,Team1_ft_percent,Team1_avg_rebounds,Team1_avg_assists,Team1_avg_turnovers,Team1_avg_steals,Team1_avg_blocks,Team1_avg_fouls,Team2_avg_points,Team2_avg_points_allowed,Team2_fg_percent,Team2_three_p_percent,Team2_ft_percent,Team2_avg_rebounds,Team2_avg_assists,Team2_avg_turnovers,Team2_avg_steals,Team2_avg_blocks,Team2_avg_fouls
1998,137,3104,94,3422,46,H,0,3104,3422,1,,,,,,,,,,,,,,,,,,,,,,
1998,137,3112,75,3365,63,H,0,3112,3365,1,,,,,,,,,,,,,,,,,,,,,,
1998,137,3163,93,3193,52,H,0,3163,3193,1,,,,,,,,,,,,,,,,,,,,,,
1998,137,3198,59,3266,45,H,0,3198,3266,1,,,,,,,,,,,,,,,,,,,,,,
1998,137,3203,74,3208,72,A,0,3203,3208,1,,,,,,,,,,,,,,,,,,,,,,
1998,137,3234,77,3269,59,H,0,3234,3269,1,,,,,,,,,,,,,,,,,,,,,,
1998,137,3242,72,3408,68,H,0,3242,3408,1,,,,,,,,,,,,,,,,,,,,,,
1998,137,3301,89,3263,64,H,0,3263,3301,0,,,,,,,,,,,,,,,,,,,,,,
1998,137,3304,76,3307,59,N,0,3304,3307,1,,,,,,,,,,,,,,,,,,,,,,
1998,137,3314,91,3224,71,H,0,3224,3314,0,,,,,,,,,,,,,,,,,,,,,,
1998,137,3323,78,3283,64,A,0,3283,3323,0,,,,,,,,,,,,,,,,,,,,,,
1998,137,3330,92,3384,39,H,0,3330,3384,1,,,,,,,,,,,,,,,,,,,,,,
1998,137,3403,87,3212,75,H,0,3212,3403,0,,,,,,,,,,,,,,,,,,,,,,
1998,137,3417,65,3276,58,H,0,3276,3417,0,,,,,,,,,,,,,,,,,,,,,,
1998,137,3438,77,3374,68,H,0,3374,3438,0,,,,,,,,,,,,,,,,,,,,,,
1998,137,3464,91,3272,80,A,0,3272,3464,0,,,,,,,,,,,,,,,,,,,,,,
1998,138,3116,76,3218,70,A,0,3116,3218,1,,,,,,,,,,,,,,,,,,,,,,
1998,138,3155,60,3274,49,H,0,3155,3274,1,,,,,,,,,,,,,,,,,,,,,,
1998,138,3161,81,3179,75,A,0,3161,3179,1,,,,,,,,,,,,,,,,,,,,,,
1998,138,3181,92,3292,67,H,0,3181,3292,1,,,,,,,,,,,,,,,,,,,,,,
